add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val,
"Panama Viejo Residences, en Panama Viejo",139000,58,2,2,1,139000
Armonía en Cinta Costera,124500,45.24,1,1,NaN,124500
"Coco Place en Coco del Mar, San Francisco",233259.6,79.34,2,2,1,233259.6
Apartments in El Cangrejo | El Cangrejo Porto Bello Downtown Remodeled Apartment,145000,92,2,2,1,145000
Apartments in El Bosque | El Bosque Alsacia Towers Semi Furnished Remodeled Apartment,118000,66,2,2,1,118000
Apartments in Carrasquilla | Torres de Castilla Carrasquilla Apartment w/ Appliances,125000,71,2,2,1,"125,000.00"
Apartments in Avenida Balboa | VENTA / ALQUILER APARTAMENTO PH COSTANERA BELLA VISTA,570000,205,3,3.5,2,570000
Apartments in San Francisco | Sale of apartment in San Francisco,180000,82.45,2,2,2,180000
Apartments in Punta Pacífica | Oceanfront OASIS ON THE BAY in Punta Pacifica,205000,99,2,1.5,1,"205,000.00"
Apartments in Coco del Mar | VENTA APARTAMENTO PH QUADRAT SAN FRANCISCO,340000,138,2,2.5,2,"340,000.00"
Apartments in Punta Paitilla | Venta P.H. Punta del Sol | Apartamento,800000,600,4,4.5,4,"800,000.00"
"Apartments in Tumba Muerto | REMATE Lexington Tower, Villa de las fuentes Area El Dorado -Tumba Muerto",240000,154,3,3,2,240000
"Apartments in Vista Hermosa | VIA ESPAÑA Y F. DE CORDOBA A ESTRENAR DE 2 RECAMARAS Y DE 3 RECAMARAS desde U$ 169,000",169000,87,2,2,1,169000
"Apartments in 12 de Octubre | PARQUE LEFEVRE A ESTRENAR ESTE AÑO- DESDE U$ 129,000.= 2 RECAMARAS + 2 BAÑOS+ 1 ESTACIONAMIENTO-",129000,61,2,2,1,129000
Apartments in San Francisco | APARTAMENTO EN VENTA EN CITRUS SAN FRANCISCO 23AND1208,145000,80.67,1,1.5,1,145000
Venta Coco del Mar Panorama,518400,192,3,3,2,518400
"Apartments in San Francisco | San Francisco, APARTAMENTOS A ESTRENAR CON VISTA AL PARQUE OMAR DESDE U$ 179,899.=",179899,84,2,2,1,179899
"Apartments in Parque Lefevre | Parque Lefevre , a ESTRENAR YA! con INTERES PREFERENCIAL- U$ 129,800.=",129800,55,2,2,1,129800
"Apartments in Costa del Este | COSTA DEL ESTE,VENTA APARTAMENTO PRIMERA LINEA FRENTE AL MAR",760000,270,3,3.5,2,760000
Apartments in 12 de Octubre | Sabana Tower en Vía España y la 12 de Octubre,178110,99.7,3,2,1,178110
"Apartments in Cerro Viento | LA RESERVA DE CERRO VIENTO - Cerro Viento, cerca de Metromall",141350,78.2,2,2,1,141350
Apartments in Punta Paitilla | OWNER SALE APT. EXCLUSIVE PUNTA PAITILLA. FOR CHANGE OF COUNTRY.,349000,413.41,4,3,2,"349,000.00"
Apartments in Costa del Este | COSTA DEL ESTE VENDO ELEGANTE Y MODERNO APARTAMENTO FRENTE AL MAR,850000,337,3,4.5,2,850000
Apartments in Costa del Este | ESTRENE SU APARTAMENTO EN MAUI COSTA DEL ESTE,330000,121,3,3.5,2,330000
Apartments in Dos Mares | PACIFIC HILLS ELITE 500,350000,182.4,3,3,2,350000
Apartments in Punta Paitilla | THE TOWERS AT PAITILLA,920000,329.84,3,3,2,920000
Apartments in Costa del Este | TEN TOWER,815000,419,3,3,3,815000
Apartments in Costa del Este | ASIA,375000,151.25,3,3,2,375000
Apartments in El Cangrejo | PENTHOUSE EN PH MIRO,357500,222.36,2,4,2,357500
Apartments in San Francisco | INFINITY TOWER,270000,172,3,2,2,270000
Apartments in San Francisco | JADE TOWER,300000,138,3,2,2,300000
Apartments in Santa María | THE RESERVE,766000,317.32,4,4,2,766000
Apartments in Costa del Este | ESPECTACULAR APARTAMENTO EN VENTA COSTA DEL ESTE,550000,200,3,3.5,2,550000
Apartments in Costa del Este | TORRE ZEUS,800000,419.85,4,5,3,800000
Apartments in Punta Pacífica | LOFT FOUR 41,295000,174.1,1,1,1,295000
"Apartments in Costa del Este | APARTMENT FOR SALE EXLUSIVE AREA OF COSTA DEL ESTE $300,000",300000,155,3,2.5,2,300000
Apartments in San Francisco | Apartment for Sale in San Francisco for $335k (Negotiable Price),335000,206,3,3.5,3,335000
"Apartments in Clayton | Diplomat sells for relocation Apartment in Embassy Club, Courtyard",299000,147,2,3.5,2,299000
Apartments in San Francisco | San Francisco PENTHOUSE. SUPER GANGA,462000,350,4,4,2,462000
"Apartments in Villa de las Fuentes | MEI TOWER, NUEVO, 118 Y 145 METROS- 3 Y 4 RECAMARAS. LISTO PARA ENTREGA",218500,118,3,3,2,218500
"Apartments in Punta Pacífica | PACIFIC POINT . VARIOS MODELOS LISTOS PARA OCUPAR , PUNTA PACIFICA, PACIFIC POINT",NaN,400,3,4.5,3,NaN
Apartments in Avenida Balboa | SE VENDE 160m2 APARTAMENTO 2 RECAMARAS REMODELADO BELLA VISTA,290000,162,2,2.5,2,290000
Apartments in El Dorado | NEGOCIABLE!! 3 RECÁMARAS APARTAMENTO 166M2 y de 320m2 SAN FRANCISCO,290000,166,3,2.5,2,"290,000.00"
"Apartments in Punta Pacífica | SE VENDEN PACIFIC POINT , PUNTA PACIFICA EN LAS TORRES MAS EXCLUSIVAS",922000,450,4,4,4,922000
Apartments in Punta Pacífica | Stunning Apartment at Punta Pacifica - Absolutely Remodeled,790000,308,3,4,2,790000
"Apartments in Condado del Rey | VENDO APARTAMENTO EN CONDADO DEL REY, PH TERRAZAS DEL REY",139000,97,3,2,1,"139,000.00"
"Apartments in Punta Pacífica | Ocean Reef Islands | Captivating house-like apartment, with gardens",2100000,502,4,4,3,"2,100,000.00"
Apartments in El Cangrejo | Venta P.H. El Alcazar| Apartamento,495000,480.72,4,3.5,4,"495,000.00"
Apartments in Carrasquilla | Sale of 77 m2 Apartment in Viridian Park Carrasquilla,117000,77,2,2,1,117000
Apartments in Costa del Este | Elevation tower - apartamento en venta costa del este,327000,185,3,4.5,2,327000
Dynasty Residences en Bella Vista,246000,98,2,2,1,246000
"Mystic Village en Don Bosco, Juan Díaz",112000,61.63,2,2,1,112000
Ocean House en Santa María,287000,86.84,2,2,2,287000
Apartments in Punta Pacífica | PUNTA PACIFICA - APARTAMENTO EN VENTA - LOFT 41,305000,177,1,1,1,305000
Apartments in San Francisco | Excelente apartamento en TERRAZAS DEL PACIFICO,610000,315,3,4,3,"610,000.00"
"BALCONY - 1, 2 y 3 recámaras - ¡En Construcción!",198800,76,2,2,2,198800
"Apartments in Victoriano Lorenzo | Apartamento en El Bosque, PH GREENWOOD TOWERS, Via Ricardo J Alfaro",175000,70,2,2,1,175000
Apartments in Punta Pacífica | GRAND TOWER - PUNTA PACIFICA,790000,306,3,3.5,2,790000
Apartments in Santa María | EMPIRE - SANTA MARIA con opción a 4 recamaras,850000,322,4,4,3,"850,000.00"
Apartments in Punta Pacífica | GRAND TOWER - PUNTA PACIFICA,450000,171,2,2.5,2,"450,000.00"
Apartments in Punta Paitilla | GANGA / 2REC / 167mt2 / PAITILLA #1816 avd,199000,167,2,2,1,"199,000.00"
"Apartments in Avenida Balboa | Se vende apartamento en Avenida Balboa Bella Vista, Ph Nuovo Armani",330000,105,2,3,1,"330,000.00"
"Apartments in Avenida Balboa | Se vende apartamento en Ave Balboa, Ph Yoo & Arts",325000,121,1,1,1,"325,000.00"
Apartments in San Francisco | PH AURORA - 120m2 / 3Rec / 2.5Baños / Cuarto y baño de servicio,310200,120,3,2.5,2,"310,200.00"
PREVENTA PROYECTO CELESTE EN SANTA MARÍA,562275,189,3,3,NaN,562275
"Apartments in Calle 50 | Bella Vista, Vendo Apto 1Rec opción a la 2da Rec y 2 Baños 50Mts Entrega Inmediata $126,000.00",126000,50,1,2,1,"126,000.00"
Apartments in Punta Pacífica | Ph Beach Club Residences. Ocean Reef II. SP,1150000,241,3,3.5,3,1150000
Apartments in Obarrio | Apartamento a la venta en Obarrio,270000,230,4,2,2,270000
