price,area,beds,baths,parkings
139000.0,58.0,2,2.0,1
233259.6,79.34,2,2.0,1
145000.0,92.0,2,2.0,1
118000.0,66.0,2,2.0,1
125000.0,71.0,2,2.0,1
570000.0,205.0,3,3.5,2
180000.0,82.45,2,2.0,2
205000.0,99.0,2,1.5,1
340000.0,138.0,2,2.5,2
800000.0,600.0,4,4.5,4
240000.0,154.0,3,3.0,2
169000.0,87.0,2,2.0,1
129000.0,61.0,2,2.0,1
145000.0,80.67,1,1.5,1
518400.0,192.0,3,3.0,2
179899.0,84.0,2,2.0,1
129800.0,55.0,2,2.0,1
760000.0,270.0,3,3.5,2
178110.0,99.7,3,2.0,1
141350.0,78.2,2,2.0,1
349000.0,413.41,4,3.0,2
850000.0,337.0,3,4.5,2
330000.0,121.0,3,3.5,2
350000.0,182.4,3,3.0,2
920000.0,329.84,3,3.0,2
815000.0,419.0,3,3.0,3
375000.0,151.25,3,3.0,2
357500.0,222.36,2,4.0,2
270000.0,172.0,3,2.0,2
300000.0,138.0,3,2.0,2
766000.0,317.32,4,4.0,2
550000.0,200.0,3,3.5,2
800000.0,419.85,4,5.0,3
295000.0,174.1,1,1.0,1
300000.0,155.0,3,2.5,2
335000.0,206.0,3,3.5,3
299000.0,147.0,2,3.5,2
462000.0,350.0,4,4.0,2
218500.0,118.0,3,3.0,2
290000.0,162.0,2,2.5,2
290000.0,166.0,3,2.5,2
922000.0,450.0,4,4.0,4
790000.0,308.0,3,4.0,2
139000.0,97.0,3,2.0,1
2100000.0,502.0,4,4.0,3
495000.0,480.72,4,3.5,4
117000.0,77.0,2,2.0,1
327000.0,185.0,3,4.5,2
246000.0,98.0,2,2.0,1
112000.0,61.63,2,2.0,1
287000.0,86.84,2,2.0,2
305000.0,177.0,1,1.0,1
610000.0,315.0,3,4.0,3
198800.0,76.0,2,2.0,2
175000.0,70.0,2,2.0,1
790000.0,306.0,3,3.5,2
850000.0,322.0,4,4.0,3
450000.0,171.0,2,2.5,2
199000.0,167.0,2,2.0,1
330000.0,105.0,2,3.0,1
325000.0,121.0,1,1.0,1
310200.0,120.0,3,2.5,2
126000.0,50.0,1,2.0,1
1150000.0,241.0,3,3.5,3
270000.0,230.0,4,2.0,2
610000.0,244.0,3,3.5,2
915000.0,337.0,3,3.0,3
2900000.0,300.0,3,3.5,2
179899.0,84.0,2,2.0,1
815520.0,272.0,3,3.0,2
418000.0,221.8,3,4.5,2
370000.0,120.0,2,2.0,1
200000.0,106.0,3,3.0,1
360000.0,188.0,3,3.5,2
365000.0,140.0,3,2.0,2
485000.0,237.0,3,3.5,2
299000.0,160.75,3,3.5,2
795000.0,298.0,3,3.5,4
1650000.0,485.0,4,5.0,3
87300.0,65.0,2,1.0,1
89000.0,76.0,2,2.0,1
799800.0,531.0,4,6.0,3
217065.0,87.0,2,2.0,1
325000.0,121.0,3,2.5,2
185000.0,107.0,2,2.0,1
199900.0,131.33,3,3.0,2
166082.0,93.0,2,2.0,1
135000.0,93.0,2,2.0,1
170900.0,98.99,3,2.0,1
357500.0,222.36,3,4.0,2
340000.0,260.0,3,3.5,2
260000.0,110.0,3,2.0,2
200000.0,114.0,1,1.5,1
895000.0,373.0,4,5.5,3
179000.0,100.0,2,2.0,1
535000.0,482.43,3,3.5,3
460000.0,144.0,2,2.0,2
399000.0,168.82,3,3.0,2
245000.0,141.06,3,2.0,2
199500.0,131.0,3,3.5,1
225000.0,147.6,3,3.5,2
789000.0,525.12,4,4.5,2
360000.0,185.14,3,3.5,2
750000.0,340.0,3,3.5,5
232000.0,114.0,2,2.5,2
110000.0,49.0,1,1.0,1
125000.0,75.0,2,2.0,1
265000.0,77.0,1,2.0,2
850000.0,295.0,4,3.5,3
579000.0,250.0,4,4.0,3
365000.0,125.0,3,2.5,2
198000.0,106.0,2,2.0,1
145000.0,122.0,3,3.0,2
397500.0,207.0,3,2.5,2
175000.0,105.0,2,2.0,1
500000.0,184.0,5,4.0,3
180000.0,100.0,1,1.5,1
82269.0,62.04,2,1.0,1
390000.0,216.67,3,4.0,2
250000.0,118.74,2,3.0,1
116000.0,77.0,2,2.0,1
215000.0,160.0,3,2.0,1
270000.0,170.0,2,2.5,2
100000.0,64.0,2,1.0,1
950000.0,339.0,3,3.0,3
115000.0,80.0,3,2.0,1
250000.0,163.0,3,3.0,2
490000.0,200.0,3,3.5,2
173000.0,120.0,2,2.5,1
300000.0,142.0,3,4.0,2
782400.0,326.0,4,4.0,2
160000.0,114.0,2,2.0,1
235000.0,153.4,3,3.0,2
375000.0,256.0,4,3.5,2
160000.0,86.0,2,2.0,1
790000.0,308.0,3,3.5,3
860000.0,337.0,3,3.5,3
1926575.0,707.0,4,4.0,5
930800.0,358.0,4,4.0,3
310000.0,120.0,1,1.5,1
319950.0,182.0,3,2.5,2
767800.0,349.0,4,4.5,3
565000.0,307.0,3,3.5,2
225000.0,140.0,3,2.0,2
405000.0,320.0,3,3.0,5
319000.0,199.0,3,4.0,2
1692420.0,257.58,3,4.5,2
190000.0,124.0,3,3.0,1
870500.0,322.0,3,4.0,2
325000.0,160.0,3,3.0,2
310000.0,210.0,4,4.5,2
270000.0,175.0,3,2.5,2
175000.0,93.0,2,2.0,1
299000.0,147.0,2,3.5,2
340000.0,185.0,3,3.5,2
272500.0,176.0,3,3.5,2
170000.0,86.0,2,2.0,1
925000.0,322.0,3,3.5,4
219900.0,126.0,2,2.0,2
80000.0,61.62,2,2.0,1
188000.0,105.0,3,3.0,1
510000.0,480.0,3,4.0,4
389000.0,169.0,3,3.0,2
75900.0,71.0,2,1.0,1
219000.0,118.0,2,2.0,1
169900.0,116.0,3,2.0,1
160000.0,106.0,3,2.0,1
175000.0,96.0,2,2.0,1
669000.0,375.0,3,3.5,3
200000.0,87.0,2,2.0,1
159000.0,107.0,3,2.0,2
195000.0,104.0,2,2.0,1
115000.0,74.0,2,2.0,1
357000.0,110.0,3,3.0,2
152500.0,96.0,3,2.0,2
245000.0,148.0,2,2.5,2
140000.0,94.0,2,2.0,1
1350000.0,582.0,5,5.5,4
266000.0,70.0,1,2.0,1
410000.0,175.0,2,2.0,2
339000.0,140.0,2,2.0,1
560000.0,308.0,3,3.5,2
166000.0,90.0,3,2.0,1
135000.0,89.7,3,2.0,1
310000.0,206.0,3,3.0,3
342000.0,176.0,3,4.5,2
79000.0,64.0,2,1.0,2
1650000.0,525.0,4,4.5,3
995000.0,519.8,3,4.5,5
495000.0,269.0,3,2.5,2
399000.0,210.0,3,4.0,2
429600.0,240.0,3,3.0,2
382250.0,275.0,2,3.5,2
450000.0,331.0,4,4.5,3
405000.0,240.0,3,3.5,2
82000.0,60.0,2,1.0,1
149000.0,87.0,1,1.5,1
245000.0,183.0,3,4.5,2
365000.0,159.0,2,2.5,2
335000.0,360.0,3,2.0,2
235000.0,138.39,1,1.5,1
280000.0,162.0,3,4.5,2
215000.0,156.0,3,3.0,2
140000.0,96.0,2,2.0,1
2995000.0,485.9,3,3.5,3
340000.0,188.0,3,4.0,2
365000.0,329.0,3,3.5,3
279000.0,183.0,3,3.5,2
370000.0,185.0,3,3.5,2
123000.0,73.0,2,2.0,1
480000.0,210.0,3,4.5,2
330000.0,98.0,2,3.0,1
148000.0,104.88,2,2.0,1
380000.0,209.0,3,3.5,2
275000.0,174.0,1,1.5,2
150000.0,165.0,3,2.0,1
249500.0,153.8,3,3.5,2
305000.0,175.0,3,3.5,2
615000.0,303.0,3,3.5,2
550000.0,290.0,3,3.5,2
410000.0,240.59,3,3.5,2
185000.0,93.32,2,2.0,2
190000.0,114.47,3,2.0,2
415000.0,210.0,3,3.0,3
165000.0,125.0,2,2.0,1
355000.0,260.0,3,3.5,2
260000.0,151.12,3,3.0,2
310000.0,189.0,2,3.0,1
985000.0,314.0,3,3.5,4
165000.0,98.0,3,2.0,2
305350.0,86.0,2,2.0,2
135000.0,90.5,3,2.0,1
270000.0,100.7,1,2.0,1
260000.0,159.0,3,3.0,2
650000.0,205.0,3,3.5,3
975000.0,324.0,3,3.5,3
