,add_title,add_price,add_area,add_room,add_loc
0,Perlamar_en_Casamar__San_Carlos,349200.0,155.2,3,El_Palmar
1,Ocean_House_en_Santa_Mar_a,287000.0,86.84,2,Costa_del_Este
2,Panama_Viejo_Residences__en_Panama_Viejo,139000.0,58.0,2,Panam__Viejo
3,espectacular_Apartment_for_sale_in_Ph_Aqualina_Punta_Pac_fica,724000.0,315.0,3,Punta_Pac_fica
4,Coco_del_Mar_VENDO_en_PH_QUARTIER_DEL_MAR,295000.0,120.0,2,Coco_del_Mar
5,Se_vende_apartamento_en_The_Reserve_en_Santa_Maria___243_76_mts_DL,649000.0,243.76,3,Santa_Mar_a
6,FOR_SALE_TORRE_DE_MAR_BUILDING__PUNTA_PAITILLA__OCEAN_VIEW,549000.0,280.0,3,Punta_Paitilla
7,OWNER_SALE_APT__EXCLUSIVE_PUNTA_PAITILLA__FOR_CHANGE_OF_COUNTRY_,349000.0,413.41,4,Punta_Paitilla
8,Apartment_for_sale_YOO_Arts_PANAMA_Avenida_Balboa,450000.0,155.0,2,Avenida_Balboa
9,Beautiful_fully_furnished_apartment_for_sale_in_Yacht_Club_Tower,300000.0,133.0,1,Avenida_Balboa
10,2_bedrooms_apartment_for_sale_located_in_Obarrio,220000.0,111.0,2,Obarrio
11,Beautifully_remodeled_2_bedrooms_apartment_for_sale_in_Obarrio,200000.0,111.0,2,Obarrio
12,Apartment_for_sale_of_134_m2_in_Ph_Kubic_El_Cangrejo,219000.0,134.0,3,El_Cangrejo
13,APARTAMENTOS_EXCLUSIVOS_EN_THE_RESERVE_Torre_PINNACLE_SANTA_MAR_A,620000.0,189.0,4,Santa_Mar_a
14,VIA_ESPA_A_Y_F__DE_CORDOBA_A_ESTRENAR_DE_2_RECAMARAS_Y_DE_3_RECAMARAS_desde_U__169_000,169000.0,87.0,2,Vista_Hermosa
15,AVENIDA_BALBOA___OPORTUNIDAD___APARTAMENTO_CON_VISTA_AL_MAR___CINTA_COSTERA_Y_AMADOR,330000.0,139.0,2,Avenida_Balboa
16,AV__BALBOA__VENTA_VISTA_PANORAMICA_AL_OCEANO_Y_CINTA_COSTERA___O_ALQUILER_OPCION_COMPRA_,340000.0,121.0,2,Avenida_Balboa
17,The_Rivage_Ave__Balboa_Cinta_Costera,369000.0,176.0,2,Avenida_Balboa
18,VENDO_APARTAMENTO_EN_CONDADO_DEL_REY__PH_TERRAZAS_DEL_REY,139000.0,97.0,3,Condado_del_Rey
19,Se_vende_apartamento_en_Coco_del_Mar__Ph_Victory_Sport,408000.0,125.0,3,Coco_del_Mar
20,Se_vende_apartamento_en_Santa_Mar_a__Ph_Solana,780000.0,306.0,3,Santa_Mar_a
21,Se_vende_apartamento_en_Costa_del_Este__Ph_Ocean_One,735000.0,330.0,3,Costa_del_Este
22,Se_vende_apartamento_en_San_Francisco__Ph_The_One,320000.0,147.0,2,Coco_del_Mar
23,Se_vende_apartamento_en_Santa_Mar_a__Ph_La_Maison,1301363.0,347.0,3,Santa_Mar_a
24,Se_vende_apartamento_en_Avenida_Balboa__Ph_Marina_Terrace,418000.0,221.8,3,Avenida_Balboa
25,Se_vende_apartamento_en_Santa_Mar_a__Ph_The_Ivy,409234.0,160.0,3,Santa_Mar_a
