add_title,add_price,add_area,add_room,add_loc
Ocean_House_en_Santa_Mar_a,287000,86.84,2,Costa del Este
Coco_Place_en_Coco_del_Mar__San_Francisco,227000,83.75,2,Coco del Mar
Armon_a_en_Cinta_Costera,124500,45.24,1,Avenida Balboa
The_Rivage_Ave__Balboa_Cinta_Costera,369000,176,2,Avenida Balboa
espectacular_Apartment_for_sale_in_Ph_Aqualina_Punta_Pac_fica,724000,315,3,Punta Pacífica
For_sale_3_bedrooms__2_bathrooms__San_Francisco__balcony__Parque_Omar,249000,110,3,San Francisco
Se_vende_apartamento_en_Santa_Mar_a__Ph_La_Maison,1301363,347,3,Santa María
Se_vende_apartamento_en_Santa_Mar_a__Ph_The_Ivy,457000,160,3,Santa María
Se_vende_apartamento_en_Avenida_Balboa__Ph_Marina_Terrace,418000,221.8,3,Avenida Balboa
Sale_of_77_m2_Apartment_in_Viridian_Park_Carrasquilla,117000,77,2,Carrasquilla
Se_vende_apartamento_en_The_Reserve_en_Santa_Maria___243_76_mts_DL,585000,243.76,3,Santa María
Yoo_Panama_Avenida_Balboa__Modelo_A_con_vista_al_mar,430000,155,2,Avenida Balboa
VENDO_APARTAMENTO__CONDADO_DEL_REY_PH_KINGS_PARK_2_RECAMARAS___CBE_J_H,140000,101,2,Condado del Rey
APARTAMENTOS_EN_THE_RESERVE_Torre_PINNACLE_SANTA_MAR_A,620000,189,4,Santa María
2_bedrooms_apartment_for_sale_located_in_Obarrio,200000,111,2,Obarrio
Beautiful_fully_furnished_apartment_for_sale_in_Yacht_Club_Tower,300000,133,1,Avenida Balboa
GRAND_TOWER___PUNTA_PACIFICA,459000,171,2,Punta Pacífica
EMPIRE___SANTA_MARIA_con_opci_n_a_4_recamaras,840000,322,4,Santa María
GRAND_TOWER___PUNTA_PACIFICA,790000,306,3,Punta Pacífica
VENDO_APARTAMENTO_EN_CONDADO_DEL_REY__PH_TERRAZAS_DEL_REY,145000,97,3,Condado del Rey
Ph_Beach_Club_Residences__Ocean_Reef_II__SP,1150000,241,3,Punta Pacífica
Se_vende_apartamento_en_Obarrio__PH_Miyaki,210000,128,3,Obarrio
Apartamento_a_la_venta_en_El_Cangrejo__NEGOCIABLE,279000,165,3,El Cangrejo
Apartment_for_sale_of_134_m2_in_Ph_Kubic_El_Cangrejo,219000,134,3,El Cangrejo
SE_VENDE_FULL_AMOBLADO_APARTAMENTO_COSTA_DEL_ESTE,610000,244,3,Costa del Este
OBARRIO_PH_DOWNTOWN_55_APARTAMENTO__NICO,500000,184,5,Obarrio
AV__BALBOA__VENTA_VISTA_PANORAMICA_AL_OCEANO_Y_CINTA_COSTERA,330000,121,2,Avenida Balboa
VIA_ESPA_A_Y_F__DE_CORDOBA_A_ESTRENAR_DE_2_RECAMARAS_Y_DE_3_RECAMARAS_desde_U__169_000,169000,87,2,Vista Hermosa
SE_VENDE_PH_TITANIUM_COSTA_DEL_ESTE,485000,237,3,Costa del Este
PREVENTA_PROYECTO_CELESTE_EN_SANTA_MAR_A,562275,189,3,Santa María
SE_VENDE_APARTAMENTO_REMODELADO_COSTA_DEL_ESTE,795000,298,3,Costa del Este
venta_apartamento_santa_Ana_ciudad_de_panam__cerca_del_casco_antiguo,15000,60,2,Santa Ana
Garden_Apartments___Penthouse_Ocean_Reef,2500000,654.44,7,Punta Pacífica
Terranova___El_Cangrejo,1200000,1200,4,El Cangrejo
Venta_de_apto_ph_element,245000,104,2,Avenida Balboa
PARKSIDE_FOR_SALE_2_BEDROOM_FULLY_FURNISHED,385000,125,2,Costa del Este
Nuovo_by_ARMANI_CASA,320000,95,2,Bella Vista
DELIVERY_SEPTEMBER_2022___PREFERENTIAL_INTEREST_APPLIES,145000,65,2,Parque Lefevre
AVENIDA_BALBOA___OPORTUNIDAD___APARTAMENTO_CON_VISTA_AL_MAR___CINTA_COSTERA_Y_AMADOR,330000,139,2,Avenida Balboa
LUJOSO_Y_ESPACIOSO_APARTAMENTO_EN_LA_CRESTA__400m2_,550000,400,3,La Cresta
Se_vende_apartamento_en_Carrasquilla__Ph_Residencias_del_Sol,178899,84,2,Carrasquilla
SUPER_INVERSI_N_DE_APARTAMENTO_AMOBLADO_MYSTIC_VILLAGE__DON_BOSCO,96000,61.62,2,Urbanización Don Bosco
Excelente_apartamento_en_TERRAZAS_DEL_PACIFICO,610000,315,3,San Francisco
Apartment_in_Bella_vista_PH_DYNASTY,240000,99,2,Avenida Balboa
PH_Costa_Pacifica__Venta__230_000usd__,230000,144,3,Punta Pacífica
