,add_title,add_price,add_area,add_time,add_room,add_loc,add_prom
0,Ocean House en Santa María,287000.00,86.84 m2,9 minutes ago,2,Costa del Este,Grupo Los Pueblos
1,"Coco Place en Coco del Mar, San Francisco",227000.00,83.75 m2,12 hours ago,2,Coco del Mar,Grupo Los Pueblos
2,Armonía en Cinta Costera,124500.00,45.24 m2,12 hours ago,1,Avenida Balboa,Grupo Los Pueblos
3,The Rivage Ave. Balboa Cinta Costera,369000.00,176 m2,13 hours ago,2,Avenida Balboa,"Blue Point Realty
PJ-0393"
4,espectacular Apartment for sale in Ph Aqualina Punta Pacífica,724000.00,315 m2,13 hours ago,3,Punta Pacífica,
5,"For sale 3 bedrooms, 2 bathrooms, San Francisco, balcony, Parque Omar",249000.00,110 m2,13 hours ago,3,San Francisco,PJ-1251-17
6,"Se vende apartamento en Santa María, Ph La Maison",1301363.00,347 m2,14 hours ago,3,Santa María,"B&B REAL ESTATE PANAMÁ LIC. PJ-1267-18
1267-18"
7,"Se vende apartamento en Santa María, Ph The Ivy",457000.00,160 m2,15 hours ago,3,Santa María,"B&B REAL ESTATE PANAMÁ LIC. PJ-1267-18
1267-18"
8,"Se vende apartamento en Avenida Balboa, Ph Marina Terrace",418000.00,221.8 m2,15 hours ago,3,Avenida Balboa,"B&B REAL ESTATE PANAMÁ LIC. PJ-1267-18
1267-18"
9,Sale of 77 m2 Apartment in Viridian Park Carrasquilla,117000.00,77 m2,16 hours ago,2,Carrasquilla,"Rent A House
PJ-1111-15"
10,Se vende apartamento en The Reserve en Santa Maria - 243.76 mts DL,"585000.00
(Reduced 10%)",243.76 m2,18 hours ago,3,Santa María,"PANAMA REAL ESTATE
PJ 0288 06"
11,"Yoo Panama Avenida Balboa, Modelo A con vista al mar","430000.00
(Reduced 8%)",155 m2,19 hours ago,2,Avenida Balboa,"Panama Real Estate & Investment Consultants, Corp.
PJ-0288-2006"
12,"VENDO APARTAMENTO, CONDADO DEL REY PH KINGS PARK 2 RECAMARAS + CBE J.H",140000.00,101 m2,19 hours ago,2,Condado del Rey,"PREIC
PJ-0288-2006"
13,APARTAMENTOS EN THE RESERVE Torre PINNACLE SANTA MARÍA,620000.00,189 m2,1 day ago,4,Santa María,Grupo Los Pueblos
14,2 bedrooms apartment for sale located in Obarrio,200000.00,111 m2,1 day ago,2,Obarrio,"PHomeRealty, S.A.
PJ-0966-13"
15,Beautiful fully furnished apartment for sale in Yacht Club Tower,300000.00,133 m2,1 day ago,1,Avenida Balboa,"PHomeRealty, S.A.
PJ-0966-13"
16,GRAND TOWER - PUNTA PACIFICA,"459000.00
(Reduced 5%)",171 m2,1 day ago,2,Punta Pacífica,"PANAMA VIEW REALTY
PJ 1281"
17,EMPIRE - SANTA MARIA con opción a 4 recamaras,840000.00,322 m2,1 day ago,4,Santa María,"PANAMA VIEW REALTY
PJ 1281"
18,GRAND TOWER - PUNTA PACIFICA,790000.00,306 m2,1 day ago,3,Punta Pacífica,"PANAMA VIEW REALTY
PJ 1281"
19,"VENDO APARTAMENTO EN CONDADO DEL REY, PH TERRAZAS DEL REY",145000.00,97 m2,1 day ago,3,Condado del Rey,
20,Ph Beach Club Residences. Ocean Reef II. SP,1150000.00,241 m2,1 day ago,3,Punta Pacífica,"FORD REALTY, S. A.
0249"
21,"Se vende apartamento en Obarrio, PH Miyaki","210000.00
(Reduced 63%)",128 m2,1 day ago,3,Obarrio,"B&B REAL ESTATE PANAMÁ LIC. PJ-1267-18
1267-18"
22,Apartamento a la venta en El Cangrejo. NEGOCIABLE,279000.00,165 m2,1 day ago,3,El Cangrejo,"TARTEVENDE
PN0518"
