,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
0,"Panama Viejo Residences, en Panama Viejo","B/.139,000.00",58,2,2,1
1,Armonía en Cinta Costera,"B/.124,500.00",45.24,1,1,NaN
2,"Coco Place en Coco del Mar, San Francisco","B/.233,259.60",79.34,2,2,1
3,Apartments in El Cangrejo | El Cangrejo Porto Bello Downtown Remodeled Apartment,"B/.145,000.00",92,2,2,1
4,Apartments in El Bosque | El Bosque Alsacia Towers Semi Furnished Remodeled Apartment,"B/.118,000.00",66,2,2,1
5,Apartments in Carrasquilla | Torres de Castilla Carrasquilla Apartment w/ Appliances,"B/.125,000.00
 (Reduced 4%)",71,2,2,1
6,Apartments in Avenida Balboa | VENTA / ALQUILER APARTAMENTO PH COSTANERA BELLA VISTA,"B/.570,000.00",205,3,3.5,2
7,Apartments in San Francisco | Sale of apartment in San Francisco,"B/.180,000.00",82.45,2,2,2
8,Apartments in Punta Pacífica | Oceanfront OASIS ON THE BAY in Punta Pacifica,"B/.205,000.00
 (Reduced 9%)",99,2,1.5,1
9,Apartments in Coco del Mar | VENTA APARTAMENTO PH QUADRAT SAN FRANCISCO,"B/.340,000.00
 (Reduced 40%)",138,2,2.5,2
10,Apartments in Punta Paitilla | Venta P.H. Punta del Sol | Apartamento,"B/.800,000.00
 (Reduced 11%)",600,4,4.5,4
11,"Apartments in Tumba Muerto | REMATE Lexington Tower, Villa de las fuentes Area El Dorado -Tumba Muerto","B/.240,000.00",154,3,3,2
12,"Apartments in Vista Hermosa | VIA ESPAÑA Y F. DE CORDOBA A ESTRENAR DE 2 RECAMARAS Y DE 3 RECAMARAS desde U$ 169,000","B/.169,000.00",87,2,2,1
13,"Apartments in 12 de Octubre | PARQUE LEFEVRE A ESTRENAR ESTE AÑO- DESDE U$ 129,000.= 2 RECAMARAS + 2 BAÑOS+ 1 ESTACIONAMIENTO-","B/.129,000.00",61,2,2,1
14,Apartments in San Francisco | APARTAMENTO EN VENTA EN CITRUS SAN FRANCISCO 23AND1208,"B/.145,000.00",80.67,1,1.5,1
15,Venta Coco del Mar Panorama,"B/.518,400.00",192,3,3,2
16,"Apartments in San Francisco | San Francisco, APARTAMENTOS A ESTRENAR CON VISTA AL PARQUE OMAR DESDE U$ 179,899.=","B/.179,899.00",84,2,2,1
17,"Apartments in Parque Lefevre | Parque Lefevre , a ESTRENAR YA! con INTERES PREFERENCIAL- U$ 129,800.=","B/.129,800.00",55,2,2,1
18,"Apartments in Costa del Este | COSTA DEL ESTE,VENTA APARTAMENTO PRIMERA LINEA FRENTE AL MAR","B/.760,000.00",270,3,3.5,2
19,Apartments in 12 de Octubre | Sabana Tower en Vía España y la 12 de Octubre,"B/.178,110.00",99.7,3,2,1
20,"Apartments in Cerro Viento | LA RESERVA DE CERRO VIENTO - Cerro Viento, cerca de Metromall","B/.141,350.00",78.2,2,2,1
21,Apartments in Punta Paitilla | OWNER SALE APT. EXCLUSIVE PUNTA PAITILLA. FOR CHANGE OF COUNTRY.,"B/.349,000.00
 (Reduced 5%)",413.41,4,3,2
22,Apartments in Costa del Este | COSTA DEL ESTE VENDO ELEGANTE Y MODERNO APARTAMENTO FRENTE AL MAR,"B/.850,000.00",337,3,4.5,2
