,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
0,Apartments in Obarrio | Apartamento - Bella Vista - Obarrio - Ph La Florida - Oportunidad,"B/.259,900.00",210,3,3,2
1,Apartments in Coco del Mar | Venda de Lujoso Apartamento con Vista Al Mar - PH Dalmare,"B/.485,000.00",224,3,4,2
2,Apartments in Punta Pacífica | Apartamento - Ph Trump/JW Marriot - Vista al Mar - Pta. Pacifica,"B/.399,999.00",111.46,1,2,1
3,Apartments in Coco del Mar | Alquiler de apartamento a estrenar - Coco Place - Coco del Mar,"B/.225,000.00",83,2,2,1
4,"Apartments in Marbella | Se vende penthouse junior en Marbella, Ph Bahía Esmeralda","B/.750,000.00
 (Reduced 5%)",361,4,4,4
5,Apartments in Albrook | CLAYTON FORREST GATE VENTA APARTAMENTO GANGA,"B/.345,000.00",154,3,3,2
6,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacifica, Ph Oceanaire","B/.299,000.00",116,1,2,1
7,"Apartments in Punta Pacífica | Se vende apartamento en Ocean Reef Island, Beach Club Residences","B/.1,125,000.00",220,2,2.5,2
8,Apartments in Punta Pacífica | Apartment for sale at The Ocean Club In Punta Pacifica,"B/.490,000.00",153,2,2.5,1
9,Apartments in Santa María | SANTA MARIA VILLAGE CENTER - LAST UNIT AVAILABLE!!!,"B/.396,600.00",129.3,2,2,1
10,Apartments in Punta Paitilla | Venta Apartamento 2 Recamaras Punta Paitilla REDUCIDO,"B/.165,000.00",133,2,2,2
11,"Apartments in Albrook | Forest Gate Albrook Apartment for sale, Nature and Peace $290,000.00","B/.290,000.00
 (Reduced 8%)",164.25,3,3.5,2
12,Apartments in Clayton | Sale Apartment Embassy Club 3 bedrooms and balcony,"B/.380,000.00",179,3,4.5,2
13,Apartments in Clayton | Sale Apartment Embassy Club 3 rooms plus balcony,"B/.390,000.00
 (Reduced 7%)",198.91,3,4.5,2
14,Apartments in Punta Pacífica | Apartamento en venta Punta Pacifica 406 mts2 $ 900.000 VL.,"B/.900,000.00",406,4,4,4
15,Apartments in Punta Pacífica | Almar - Ocean Reef Islands - Punta Pacífica - Se vende exclusivo Apartamento,"B/.2,350,000.00",407,4,4.5,NaN
16,Apartments in Punta Paitilla | Se vende apartamento en Punta Paitilla The Towers,NaN,320,3,3.5,3
17,Apartments in Coco del Mar | Venta P.H. Bahía del Golf| Apartamento,"B/.260,000.00",186,4,4.5,2
18,Apartments in Costa del Este | Se Vende Apartamento 2 Recamaras PH Parque del Este,"B/.80,000.00",65,2,1,1
19,Apartments in Panama City | Punta Pacifica Ph Costa Pacifica,"B/.350,000.00",187,3,5,3
20,"Apartments in Costa del Este | ID 2994 PENTHOUSE, 2 ESTUDIOS, TERRAZA PRIVADA","B/.960,000.00",445,4,5,3
21,Apartments in Albrook | SE VENDE APARTMENTO FULL AMOBLADO PINE HILL ALBROOK,"B/.260,000.00",170,3,3.5,2
22,"Apartments in San Francisco | Sale of Furnished Apartment of 82 m2 in PH Moon Tower, San Francisco","B/.155,000.00",82,1,2,1
23,"Apartments in Punta Paitilla | Sale of Furnished Apartment of 322 m2 in PH Lalique, Paitilla","B/.365,000.00",322,2,4,2
24,Apartments in Obarrio | CENTRAL APARTMENT FOR SALE,"B/.270,000.00",166,3,2.5,2
25,"Apartments in San Francisco | ID 2750 FRENTE A PARQUE OMAR, 10MIL DENTRO DEL APTO.","B/.138,000.00",76,2,2,1
26,Apartments in Punta Paitilla | MAR DE PLATA TOWER - PUNTA PAITILLA - OCEAN VIEWS,"B/.465,000.00",250,3,3.5,2
27,"Apartments in Obarrio | OBARRIO River Park Apartment for sale 3 bedrooms $ 285,000.00","B/.285,000.00",128.31,3,2,2
28,Apartments in Obarrio | Venta de apartamento en Obarrio,"B/.225,000.00",129,3,2,2
29,Apartments in Carrasquilla | CARRASQUILLA / PH PLAZA VALENCIA / 80m2 / 3 HABITACIONES,"B/.125,000.00",80,3,2,1
30,Apartments in Vía Porras | VIA PORRAS / PH ST EMILLION / 74m2 / 2 HABITACIONES,"B/.115,000.00",74,2,2,1
31,Apartments in Punta Paitilla | PUNTA PAITILLA / PH PERLA DEL PACIFICO / 145m2 / LINEA BLANCA,"B/.260,000.00",145,3,2,2
32,Apartments in Coco del Mar | COCO DEL MAR / PH NAUTICA / 148m2 / LINEA BLANCA,"B/.315,000.00",148,2,2,1
33,Apartments in Punta Paitilla | PUNTA PAITILLA / PH PERLA DEL PACIFICO / 155m2 / LINEA BLANCA,"B/.265,000.00",155,3,2.5,2
34,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, Ph Aqualina","B/.855,000.00",406,4,5,4
35,Apartments in San Francisco | Apartamento a la venta en San Francisco a ESTRENAR,"B/.415,800.00",189,3,3.5,2
36,"Apartments in Coco del Mar | Se vende apartamento en Coco del Mar, PH Quartier del Mar","B/.285,000.00",120,2,2,2
37,"Apartments in Coco del Mar | Se vende apartamento en Coco del Mar, PH Nautica","B/.285,000.00",148,2,2,2
38,"Apartments in Albrook | Se vende apartamento en Albrook, Ph Embasy Village","B/.280,000.00",107,2,2.5,2
39,Apartments in Costa del Este | Vendo apto. full amoblado en costa del este ID5405,"B/.289,000.00",113,2,2,1
40,"Apartments in San Francisco | Se vende apartamento en San Francisco, Ph Terrawind","B/.268,000.00",134,3,2,2
41,"Apartments in Coco del Mar | Se vende apartamento en Coco del Mar, Ph Panamar","B/.545,000.00",303,2,2,2
42,"Apartments in Coco del Mar | Se vende apartamento en Coco del Mar, Ph Panamar","B/.1,000,000.00",600,4,4,5
43,"Apartments in Punta Pacífica | PUNTA PACIFICA ,VENTA APARTAMENTO VISTA AL MAR 4 RECAMARAS + CBE","B/.375,000.00",222,4,4.5,2
44,Apartments in Costa del Este | Apartment for Sale PH Solana Exclusive area of Santa Maria,"B/.811,000.00",306,3,3.5,3
45,Apartments in San Francisco | BRAND NEW APARTMENTS FOR SALE TORRES DE CASTILLA (PS),"B/.195,000.00",83,2,2,1
46,"Apartments in Costa del Este | Incluye Línea Blanca, Aires Acondicionados, Blackouts y Lámparas.","B/.825,000.00",323,3,3,4
47,Apartments in Costa del Este | MAREA II,"B/.2,124,600.00",1145,4,4,5
48,Apartments in Costa del Este | MAREA II,"B/.1,926,575.00",717.68,4,4,5
49,Apartments in Costa del Este | MAREA II,"B/.1,956,575.00",717.68,4,4,5
50,"Apartments in Avenida Balboa | SE VENDE APTO AVE BALBOA 2 REC $350,000.00","B/.350,000.00",150,2,3,1
51,Apartments in Avenida Balboa | Apartment For Sale Or Rent In PH Waters On The Bay In Avenida Balboa,"B/.350,000.00",133,2,2,1
52,"Apartments in Casco Viejo, San Felipe | Apartment For Sale In PH Casa St George Located In Casco Viejo","B/.625,000.00",163,2,2,1
53,Apartments in Punta Pacífica | GRAND TOWER - PUNTA PACIFICA,"B/.385,000.00",140,1,1.5,1
