,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
0,"Apartments in Avenida Balboa | Se vende apartamento en Bella Vista, Ph Waldorf Astoria","B/.245,000.00",78,1,1,1
1,"Apartments in Costa del Este | Sale of 384 m2 Apartment in Ph Vitri Tower, Costa del Este","B/.1,080,000.00",384,4,5,4
2,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacífica MMC,"B/.520,000.00",171,2,3,2
3,"Apartments in Costa del Este | Sale of 464 m2 Apartment in PH Vitri Tower, Costa del Este","B/.1,100,000.00",464,4,5,4
4,Apartments in Punta Pacífica | Apartment For Sale In PH Oasis On The Bay In Punta Pacifica,"B/.420,000.00",240,3,2.5,2
5,Apartments in Costa del Este | Apartamento en venta en Costa del Este MMC,"B/.490,000.00",210,3,4,2
6,Apartments in Avenida Balboa | Apartamento en venta en avenida balboa MMC,"B/.300,000.00",147,2,3,2
7,Apartments in El Cangrejo | EL CANGREJO / PH PORTANOVA LOFT / 213m2 / LINEA BLANCA,"B/.385,000.00",213,3,3,2
8,"Apartments in Bella Vista | Se vende apartamento en Bella Vista, Ph Seawaves","B/.215,000.00",100,2,2,1
9,Apartments in Obarrio | Apartamento en venta en Obarrio MMC,"B/.235,000.00",117,3,2,1
10,APARTAMENTOS A ESTRENAR EN COCO DEL MAR | FACILIDADES DE PAGO,"B/.141,750.00",48,1,1,1
11,Apartments in Punta Pacífica | TRUMP JW MARRIOT - PUNTA PACIFICA,"B/.405,000.00",112,1,2,1
12,Apartments in Carrasquilla | SE VENDE APARTAMENTO EN HATO PINTADO,"B/.98,000.00",74,3,2,1
13,Apartments in Coco del Mar | SE VENDE APARTAMENTO ESTUDIO A ESTRENAR EN SAN FRANCISCO,"B/.141,750.00",48,1,1,1
14,Apartments in Coco del Mar | SE VENDE APARTAMENTO A ESTRENAR EN COCO DEL MAR,"B/.260,610.00",83,2,2,1
15,Apartments in Coco del Mar | COCO PLACE APARTAMENTOS DE ENTREGA INMEDIATA EN SAN FRANCISCO,"B/.233,250.00",79,2,2,1
16,"Apartments in Vía España | Ph Plaza Valencia, Via España, Vista Hermosa, San Francisco","B/.129,000.00
 (Reduced 3%)",87,3,2,1
17,Apartments in Avenida Balboa | Junior Penthouse For Sale In Avenida Balboa,"B/.1,100,000.00",515,4,3,3
18,Apartments in El Cangrejo | VELURE - REVENTA - DOBLE ALTURA - 2 parking - PISO ALTO,"B/.239,000.00",88,2,2,2
19,Apartments in Avenida Balboa | VENTA APARTAMENTO AV BALBOA PH RIVAGE,"B/.330,000.00",154,2,2,1
20,"Apartments in San Francisco | TAO TOWER / SAN FRANCISCO /$350,000","B/.350,000.00",200,3,3,2
21,Apartments in Avenida Balboa | Venta de apartamento en av Balboa,"B/.380,000.00",119,2,2,1
22,Apartments in Punta Paitilla | REMATE!!! Venta Apartamento Punta Paitilla,"B/.215,000.00",250,4,2,1
23,"Apartments in San Francisco | Apartment for sale of 105 m2 in Palma de Mallorca, San Francisco","B/.175,000.00
 (Reduced 5%)",105,2,2,1
24,"Apartments in El Cangrejo | Sale of 156 m2 Apartment in PH Astoria, El Cangrejo","B/.280,000.00",156,3,2,2
25,"Apartments in San Francisco | Sale of 123 m2 Apartment in PH Serenity at t he Bay, San Francisco","B/.205,000.00",123,2,2,1
26,Apartments in Avenida Balboa | Hermoso apartamento con vista al océano,"B/.200,000.00",90,1,1.5,1
27,Apartments in El Cangrejo | GANGA VENDO 44 PARK,"B/.200,000.00",NaN,3,3,2
28,Apartments in La Cresta | PH SIGNATURE POINT $ 175.000,"B/.185,000.00",82,2,2,1
29,Apartments in Ancón | VENDO APARTAMENTO. ALTAMIRA GARDENS. AV. CENTENARIO. PANAMA NORTE.,"B/.129,000.00
 (Reduced 7%)",80,2,2,2
30,Apartments in La Loma | 100 m2 apt excellent location Vía España,"B/.134,000.00
 (Reduced 4%)",100,2,2,1
31,"Apartments in Avenida Balboa | Vendo Apartamento en Vista del Mar, Avenida Balboa","B/.245,000.00",98,1,1.5,1
32,Apartments in Bella Vista | Venta de apartamento en Bella vista,"B/.270,000.00",160,3,2.5,2
33,"Apartments in Punta Pacífica | FOR SALE APARTMENT PH OCEAN PARK, PUNTA PACIFICA (6)","B/.565,000.00",258,3,3.5,2
34,Apartments in Parque Lefevre | Apartamento en Parque Lefevre,"B/.100,000.00",61,2,1,1
35,"Apartments in Llano Bonito | Se Vende Apartamento, Llano Bonito","B/.112,000.00",65,2,2,1
36,"Apartments in Punta Paitilla | ¡REMATE BANCARIO! Apartamento PH Royal Princess, Punta Paitilla","B/.155,000.00",133,2,2,1
37,Apartments in El Cangrejo | En venta Luxor 400 en El Cangrejo,"B/.217,000.00",86,2,2,1
38,Apartments in Dos Mares | En venta Elite 500 en Dos Mares últimas unidades,"B/.265,000.00
 (Reduced 11%)",125,3,2,1
39,Apartments in Edison Park | Venta Elmare en Edison Park últimas unidades,"B/.175,000.00
 (Reduced 3%)",87,2,2,2
40,Costanera en Avenida Balboa,"B/.350,000.00",123,3,2,NaN
41,Apartments in Tumba Muerto | En venta Sky Point en la Tumba Muerto,"B/.229,000.00",99,2,2,1
42,Apartments in Tumba Muerto | En venta Greenwood Towers en la Tumba Muerto,"B/.112,500.00
 (Reduced 6%)",40,1,2,1
43,Apartments in Ernesto Cordoba Campos | Se vende Panorama 360 en Green City,"B/.120,000.00",50,2,2,1
44,Apartments in Punta Paitilla | Se vende Deluxe Residences en Paitilla,"B/.455,000.00
 (Reduced 8%)",177,3,3,2
45,Apartments in Betania | Se vende Vivendi Green en Edison Park,"B/.205,000.00",82,2,2,1
46,Apartments in El Cangrejo | En venta Luxor 300 en El Cangrejo,"B/.465,000.00",183.7,2,2,1
47,Apartments in Dos Mares | En venta exclusivo Penthouse -Dos Mares Elite 400,"B/.884,000.00",590,4,4,4
48,Apartments in Punta Paitilla | Se vende exclusivo apartamento en Punta Paitilla - Ocean Front,"B/.913,400.00",320.78,3,3.5,3
49,Apartments in Coco del Mar | Apartament in San Francisco,"B/.240,000.00",148,4,3,3
50,"Apartments in Obarrio | PH Sophia Tower NEGOCIABLE, un diseño Familiar y espacioso.","B/.350,000.00
 (Reduced 4%)",188,3,3.5,2
51,"Apartments in Bella Vista | Se vende apartamento en Bella Vista, Ph Colores de Bella Vista","B/.240,000.00",109,2,2,1
52,Apartments in Costa del Este | PH COSTA REAL en Costa del este,"B/.430,000.00",227,3,3.5,2
53,"Apartments in El Ingenio | PH Summer Remodelado, Rebajado","B/.109,000.00",78.38,2,2,1
54,"Apartments in Obarrio | 5982 Apartment in PH Metric, Obarrio, Bella Vista, Panamá","B/.189,000.00",84,2,2,1
55,"Apartments in Vía Porras | Apartment For Sale in San Francisco, Panamá City","B/.300,000.00",156.25,3,3.5,1
56,Apartments in Avenida Balboa | Apartamento en Venta - Green View Ave Balboa,"B/.292,000.00",111.04,2,2,1
