,url_by_add
0,https://www.encuentra24.com/panama-en/real-estate-preconstruction-new-property/bali-en-costa-del-mar-costa-del-este/20982810?q=withcat.real-estate-for-sale-apartments-condos|number.50&regionslug=prov-panama&list=categoryregion&catslug=real-estate-for-sale-apartments-condos
1,https://www.encuentra24.com/panama-en/real-estate-preconstruction-new-property/ocean-house-en-santa-maria/21133359?q=withcat.real-estate-for-sale-apartments-condos|number.50&regionslug=prov-panama&list=categoryregion&catslug=real-estate-for-sale-apartments-condos
2,https://www.encuentra24.com/panama-en/real-estate-preconstruction-new-property/mystic-village-en-don-bosco-juan-diaz/21728026?q=withcat.real-estate-for-sale-apartments-condos|number.50&regionslug=prov-panama&list=categoryregion&catslug=real-estate-for-sale-apartments-condos
3,https://www.encuentra24.com/panama-en/real-estate-for-sale-apartments-condos/spectacular-apartment-for-sale-in-the-reserve/14938720?q=withcat.real-estate-for-sale-apartments-condos|number.50&regionslug=prov-panama&list=categoryregion&catslug=real-estate-for-sale-apartments-condos
4,https://www.encuentra24.com/panama-en/real-estate-for-sale-apartments-condos/lujoso-y-espacioso-apartamento-en-la-cresta-400m2/22107294?q=withcat.real-estate-for-sale-apartments-condos|number.50&regionslug=prov-panama&list=categoryregion&catslug=real-estate-for-sale-apartments-condos
5,https://www.encuentra24.com/panama-en/real-estate-for-sale-apartments-condos/garden-apartments-penthouse-ocean-reef/19729139?q=withcat.real-estate-for-sale-apartments-condos|number.50&regionslug=prov-panama&list=categoryregion&catslug=real-estate-for-sale-apartments-condos
6,https://www.encuentra24.com/panama-en/real-estate-for-sale-apartments-condos/terranova-el-cangrejo/19143013?q=withcat.real-estate-for-sale-apartments-condos|number.50&regionslug=prov-panama&list=categoryregion&catslug=real-estate-for-sale-apartments-condos
7,https://www.encuentra24.com/panama-en/real-estate-for-sale-apartments-condos/panorama-coco-del-mar/22626176?q=withcat.real-estate-for-sale-apartments-condos|number.50&regionslug=prov-panama&list=categoryregion&catslug=real-estate-for-sale-apartments-condos
8,https://www.encuentra24.com/panama-en/real-estate-for-sale-apartments-condos/owner-sale-apt-exclusive-punta-paitilla-for-change-of-country/8385255?q=withcat.real-estate-for-sale-apartments-condos|number.50&regionslug=prov-panama&list=categoryregion&catslug=real-estate-for-sale-apartments-condos
9,https://www.encuentra24.com/panama-en/real-estate-for-sale-apartments-condos/obarrio-ph-downtown-55-apartamento-unico/22513010?q=withcat.real-estate-for-sale-apartments-condos|number.50&regionslug=prov-panama&list=categoryregion&catslug=real-estate-for-sale-apartments-condos
